coef,any_cx,card_coefs,death_coefs,endo_coefs,etoh_coefs,falls_coefs,gastro_coefs,genit_coefs,hemat_coefs,integ_coefs,neuro_coefs,pulm_coefs,renal_coefs,sepsis_coefs,shock_coefs,vasc_coefs
(Intercept),-3.3868,-5.4449,-5.7984,-4.747,-8.1992,-5.8341,-4.4249,-4.9638,-5.4612,-4.9603,-7.124,-5.5381,-6.0888,-5.5175,-6.3668,-5.1683
AGE,0.0067,0.0187,0.0222,0,0,0,-0.002,0.0134,0,0,0.0211,0,0,0,0,0
BMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN_PATIENT,0.8531,0.7015,0.4602,0.4536,0,0,0.9134,0.4199,1.7814,0.793,1.3341,1.5107,1.2836,1.0734,1.1137,0.4734
N_CPT_CODES,0.1106,0,-0.0173,0,0,0,0,0,0.1549,0,0.158,0.2116,0.1541,0.1214,0.2876,0.0157
N_MEDS,0.0348,0,0.0717,0.0018,0,0,0,0.0097,0.0029,0.0398,0.0467,0.0332,0.0679,0.0142,0,0
PHONE_SCREEN,-0.2774,-0.1203,-0.3592,0,0,0,0,-0.132,0,0,0,-0.0496,0,0,0,0
POSH_ENC,0.5052,0.1504,0,0,0,0,0.5237,0.5007,0,0,0.7985,0,0,0,0,0
PRIMARY_RACEALASKAN NATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEAMERICAN INDIAN,0,0,0.6489,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEAMERICAN INDIAN OR ALASKAN NATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEASIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEBLACK OR AFRICAN AMERICAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACECAUCASIAN/WHITE,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEHISPANIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACENATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACENOT REPORTED/DECLINED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEOTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEUNAVAILABLE,-0.3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEX,0.0565,0.1645,0.1219,0,0,0,-0.0885,0,0,0,0,0,0.0543,0,0,0
SMO_STATUSCurrent Some Day Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSFormer Smoker,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSHeavy Tobacco Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSLight Tobacco Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
