coef,any_cx,card_coefs,death_coefs,endo_coefs,gastro_coefs,genit_coefs,hemat_coefs,integ_coefs,neuro_coefs,pulm_coefs,renal_coefs,sepsis_coefs,shock_coefs,vasc_coefs
(Intercept),-3.496,-5.4744,-5.9966,-4.911,-4.3136,-4.9365,-5.2824,-4.9416,-5.465,-5.5122,-5.897,-5.4666,-6.3003,-5.1633
AGE,0.008,0.0192,0.0241,0,-0.0028,0.0128,0,-0.0018,0.0065,0,0,0,0,0
BMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN_PATIENT,0.8586,0.7311,0.5367,0.5028,0.8948,0.489,1.6612,0.8368,1.0953,1.4787,1.2757,1.1224,1.0699,0.4907
N_CPT_CODES,0.1208,0,-0.0513,0,0,0,0.1726,0,0.079,0.2282,0.1475,0.0824,0.2722,0.0174
N_MEDS,0.0335,0.0027,0.0701,0,0,0.0098,0,0.0318,0.0243,0.0287,0.0641,0.0074,0,0
PRIMARY_RACEALASKAN NATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEAMERICAN INDIAN,0,0,0.6872,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEAMERICAN INDIAN OR ALASKAN NATIVE,-0.0493,0,-0.0324,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEASIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEBLACK OR AFRICAN AMERICAN,0,0,0.0313,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACECAUCASIAN/WHITE,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEHISPANIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACENATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACENOT REPORTED/DECLINED,0,0,-0.1102,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEOTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMARY_RACEUNAVAILABLE,-0.3654,0,0,0,0,0,0,0,0,0,0,0,0,0
SEX,0.0582,0.1647,0.1353,0,-0.137,0,0,0,0,0,0.0214,0,0,0
SMO_STATUSCurrent Some Day Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSFormer Smoker,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSHeavy Tobacco Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSLight Tobacco Smoker,0,0,0,0,0,0,0,0.0734,0,0,0,0,0,0
SMO_STATUSNever Assessed,0,0,0.3484,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSNever Smoker,0,0,-0.1172,0,0,0,0,0,0,-0.0587,0,0,0,0
SMO_STATUSPassive Smoke Exposure - Never Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMO_STATUSSmoker, Current Status Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSUnknown If Ever Smoked,0,0,3.1838,0,0,0,0,0,0,0,0,0,0,0
